pei_code;country_name;country_wb_code;OBJECTID;country_region_wb
1;Afghanistan;AFG;126;South Asia
2;Albania;ALB;61;Europe & Central Asia
3;Algeria;DZA;118;Middle East & North Africa
4;American Samoa;ASM;228;East Asia & Pacific
5;Andorra;ADO;125;Europe & Central Asia
6;Angola;AGO;99;Sub-Saharan Africa
7;Antigua and Barbuda;ATG;191;Latin America & Caribbean
8;Argentina;ARG;6;Latin America & Caribbean
9;Armenia;ARM;68;Europe & Central Asia
10;Aruba;ABW;172;Latin America & Caribbean
11;Australia;AUS;164;East Asia & Pacific
12;Austria;AUT;87;Europe & Central Asia
13;Azerbaijan;AZE;62;Europe & Central Asia
14;Bahamas, The;BHS;173;Latin America & Caribbean
15;Bahrain;BHR;232;Middle East & North Africa
16;Bangladesh;BGD;124;South Asia
17;Barbados;BRB;187;Latin America & Caribbean
18;Belarus;BLR;33;Europe & Central Asia
19;Belgium;BEL;58;Europe & Central Asia
20;Belize;BLZ;153;Latin America & Caribbean
21;Benin;BEN;98;Sub-Saharan Africa
22;Bermuda;BMU;200;North America
23;Bhutan;BTN;31;South Asia
24;Bolivia;BOL;4;Latin America & Caribbean
25;Bosnia and Herzegovina;BIH;128;Europe & Central Asia
26;Botswana;BWA;104;Sub-Saharan Africa
27;Brazil;BRA;43;Latin America & Caribbean
28;British Virgin Islands;VGB;197;Latin America & Caribbean
29;Brunei Darussalam;BRN;116;East Asia & Pacific
30;Bulgaria;BGR;106;Europe & Central Asia
31;Burkina Faso;BFA;145;Sub-Saharan Africa
32;Burundi;BDI;121;Sub-Saharan Africa
33;Cabo Verde;CPV;206;Sub-Saharan Africa
34;Cambodia;KHM;55;East Asia & Pacific
35;Cameroon;CMR;142;Sub-Saharan Africa
36;Canada;CAN;151;North America
37;Cayman Islands;CYM;199;Latin America & Caribbean
38;Central African Republic;CAF;83;Sub-Saharan Africa
39;Chad;TCD;111;Sub-Saharan Africa
40;Channel Islands;;;
41;Chile;CHL;3;Latin America & Caribbean
42;China;CHN;9;East Asia & Pacific
43;Colombia;COL;134;Latin America & Caribbean
44;Comoros;COM;204;Sub-Saharan Africa
45;Congo, Dem. Rep.;ZAR;30;Sub-Saharan Africa
46;Congo, Rep.;COG;29;Sub-Saharan Africa
47;Costa Rica;CRI;27;Latin America & Caribbean
48;Côte d'Ivoire;CIV;93;Sub-Saharan Africa
49;Croatia;HRV;100;Europe & Central Asia
50;Cuba;CUB;131;Latin America & Caribbean
51;Curaçao;CUW;171;Latin America & Caribbean
52;Cyprus;CYP;7;Europe & Central Asia
53;Czech Republic;CZE;47;Europe & Central Asia
54;Denmark;DNK;69;Europe & Central Asia
55;Djibouti;DJI;85;Middle East & North Africa
56;Dominica;DMA;189;Latin America & Caribbean
57;Dominican Republic;DOM;110;Latin America & Caribbean
58;Ecuador;ECU;133;Latin America & Caribbean
59;Egypt, Arab Rep.;EGY;157;Middle East & North Africa
60;El Salvador;SLV;113;Latin America & Caribbean
61;Equatorial Guinea;GNQ;160;Sub-Saharan Africa
62;Eritrea;ERI;86;Sub-Saharan Africa
63;Estonia;EST;49;Europe & Central Asia
64;Eswatini;SWZ;120;Sub-Saharan Africa
65;Ethiopia;ETH;13;Sub-Saharan Africa
66;Faroe Islands;FRO;211;Europe & Central Asia
67;Fiji;FJI;166;East Asia & Pacific
68;Finland;FIN;53;Europe & Central Asia
69;France;FRA;21;Europe & Central Asia
70;French Polynesia;PYF;179;East Asia & Pacific
71;Gabon;GAB;143;Sub-Saharan Africa
72;Gambia, The;GMB;161;Sub-Saharan Africa
73;Georgia;GEO;59;Europe & Central Asia
74;Germany;DEU;48;Europe & Central Asia
75;Ghana;GHA;147;Sub-Saharan Africa
76;Gibraltar;GIB;149;Europe & Central Asia
77;Greece;GRC;78;Europe & Central Asia
78;Greenland;GRL;165;Europe & Central Asia
79;Grenada;GRD;185;Latin America & Caribbean
80;Guam;GUM;230;East Asia & Pacific
81;Guatemala;GTM;114;Latin America & Caribbean
82;Guinea;GIN;81;Sub-Saharan Africa
83;Guinea-Bissau;GNB;148;Sub-Saharan Africa
84;Guyana;GUY;23;Latin America & Caribbean
85;Haiti;HTI;109;Latin America & Caribbean
86;Honduras;HND;132;Latin America & Caribbean
87;Hong Kong SAR, China;HKG;162;East Asia & Pacific
88;Hungary;HUN;73;Europe & Central Asia
89;Iceland;ISL;177;Europe & Central Asia
90;India;IND;8;South Asia
91;Indonesia;IDN;1;East Asia & Pacific
92;Iran, Islamic Rep.;IRN;91;Middle East & North Africa
93;Iraq;IRQ;88;Middle East & North Africa
94;Ireland;IRL;76;Europe & Central Asia
95;Isle of Man;IMY;210;Europe & Central Asia
96;Israel;ISR;10;Middle East & North Africa
97;Italy;ITA;89;Europe & Central Asia
98;Jamaica;JAM;198;Latin America & Caribbean
99;Japan;JPN;175;East Asia & Pacific
100;Jordan;JOR;139;Middle East & North Africa
101;Kazakhstan;KAZ;40;Europe & Central Asia
102;Kenya;KEN;16;Sub-Saharan Africa
103;Kiribati;KIR;182;East Asia & Pacific
104;Korea, Dem. People's Rep.;PRK;25;East Asia & Pacific
105;Korea, Rep.;KOR;24;East Asia & Pacific
106;Kosovo;KSV;63;Europe & Central Asia
107;Kuwait;KWT;112;Middle East & North Africa
108;Kyrgyz Republic;KGZ;67;Europe & Central Asia
109;Lao PDR;LAO;66;East Asia & Pacific
110;Latvia;LVA;50;Europe & Central Asia
111;Lebanon;LBN;12;Middle East & North Africa
112;Lesotho;LSO;141;Sub-Saharan Africa
113;Liberia;LBR;82;Sub-Saharan Africa
114;Libya;LBY;70;Middle East & North Africa
115;Liechtenstein;LIE;92;Europe & Central Asia
116;Lithuania;LTU;42;Europe & Central Asia
117;Luxembourg;LUX;56;Europe & Central Asia
118;Macao SAR, China;MAC;234;East Asia & Pacific
119;Madagascar;MDG;168;Sub-Saharan Africa
120;Malawi;MWI;18;Sub-Saharan Africa
121;Malaysia;MYS;2;East Asia & Pacific
122;Maldives;MDV;221;South Asia
123;Mali;MLI;95;Sub-Saharan Africa
124;Malta;MLT;207;Middle East & North Africa
125;Marshall Islands;MHL;183;East Asia & Pacific
126;Mauritania;MRT;159;Sub-Saharan Africa
127;Mauritius;MUS;203;Sub-Saharan Africa
128;Mexico;MEX;152;Latin America & Caribbean
129;Micronesia, Fed. Sts.;FSM;223;East Asia & Pacific
130;Moldova;MDA;137;Europe & Central Asia
131;Monaco;MCO;117;Europe & Central Asia
132;Mongolia;MNG;45;East Asia & Pacific
133;Montenegro;MNE;127;Europe & Central Asia
134;Morocco;MAR;26;Middle East & North Africa
135;Mozambique;MOZ;119;Sub-Saharan Africa
136;Myanmar;MMR;123;East Asia & Pacific
137;Namibia;NAM;34;Sub-Saharan Africa
138;Nauru;NRU;222;East Asia & Pacific
139;Nepal;NPL;140;South Asia
140;Netherlands;NLD;238;Europe & Central Asia
141;New Caledonia;NCL;167;East Asia & Pacific
142;New Zealand;NZL;251;East Asia & Pacific
143;Nicaragua;NIC;28;Latin America & Caribbean
144;Niger;NER;144;Sub-Saharan Africa
145;Nigeria;NGA;97;Sub-Saharan Africa
146;North Macedonia;MKD;60;Europe & Central Asia
147;Northern Mariana Islands;MNP;231;East Asia & Pacific
148;Norway;NOR;51;Europe & Central Asia
149;Oman;OMN;38;Middle East & North Africa
150;Pakistan;PAK;17;South Asia
151;Palau;PLW;229;East Asia & Pacific
152;Panama;PAN;154;Latin America & Caribbean
153;Papua New Guinea;PNG;156;East Asia & Pacific
154;Paraguay;PRY;135;Latin America & Caribbean
155;Peru;PER;5;Latin America & Caribbean
156;Philippines;PHL;169;East Asia & Pacific
157;Poland;POL;75;Europe & Central Asia
158;Portugal;PRT;136;Europe & Central Asia
159;Puerto Rico;PRI;195;Latin America & Caribbean
160;Qatar;QAT;102;Middle East & North Africa
161;Romania;ROM;72;Europe & Central Asia
162;Russian Federation;RUS;46;Europe & Central Asia
163;Rwanda;RWA;122;Sub-Saharan Africa
164;Samoa;WSM;218;East Asia & Pacific
165;San Marino;SMR;108;Europe & Central Asia
166;São Tomé and Principe;STP;205;Sub-Saharan Africa
167;Saudi Arabia;SAU;103;Middle East & North Africa
168;Senegal;SEN;96;Sub-Saharan Africa
169;Serbia;SRB;94;Europe & Central Asia
170;Seychelles;SYC;181;Sub-Saharan Africa
171;Sierra Leone;SLE;80;Sub-Saharan Africa
172;Singapore;SGP;213;East Asia & Pacific
173;Sint Maarten (Dutch part);SXM;37;Latin America & Caribbean
174;Slovak Republic;SVK;74;Europe & Central Asia
175;Slovenia;SVN;101;Europe & Central Asia
176;Solomon Islands;SLB;219;East Asia & Pacific
177;Somalia;SOM;15;Sub-Saharan Africa
178;South Africa;ZAF;35;Sub-Saharan Africa
179;South Sudan;SSD;14;Sub-Saharan Africa
180;Spain;ESP;65;Europe & Central Asia
181;Sri Lanka;LKA;170;South Asia
182;St. Kitts and Nevis;KNA;192;Latin America & Caribbean
183;St. Lucia;LCA;188;Latin America & Caribbean
184;St. Martin (French part);MAF;36;Latin America & Caribbean
185;St. Vincent and the Grenadines;VCT;186;Latin America & Caribbean
186;Sudan;SDN;84;Sub-Saharan Africa
187;Suriname;SUR;22;Latin America & Caribbean
188;Sweden;SWE;52;Europe & Central Asia
189;Switzerland;CHE;90;Europe & Central Asia
190;Syrian Arab Republic;SYR;20;Middle East & North Africa
191;Tajikistan;TJK;41;Europe & Central Asia
192;Tanzania;TZA;19;Sub-Saharan Africa
193;Thailand;THA;107;East Asia & Pacific
194;Timor-Leste;TMP;115;East Asia & Pacific
195;Togo;TGO;146;Sub-Saharan Africa
196;Tonga;TON;216;East Asia & Pacific
197;Trinidad and Tobago;TTO;184;Latin America & Caribbean
198;Tunisia;TUN;71;Middle East & North Africa
199;Turkey;TUR;64;Europe & Central Asia
200;Turkmenistan;TKM;138;Europe & Central Asia
